State,Initiative name,Initiative Number,Initiative status,Initiative Narrative,Initiative Metrics (Semicolon Separated),Metric Statuses (Semicolon-Separated)
AK,Spark Technology and Innovation,6,In progress,"The Spark Technology and Innovation initiative harnesses data and technology to enable rural, remote, and frontier providers to deliver secure, efficient, high-quality care. It develops reliable, interoperable, data-driven tools to support community-based, patient-centered care across Alaska’s most remote areas. This initiative empowers providers with innovative digital health tools to enhance access, coordinated care, and population health management by (a) expanding use of consumer wearables and digital devices with provider training and technical support; (b) increasing telehealth, appropriate AI, and cybersecurity through improved IT and remote monitoring; (c) facilitating data sharing and system interoperability by upgrading electronic health records, supporting the statewide HIE, and advancing workforce training and workflow redesign; and (d) testing new delivery modalities using emerging technologies like unmanned aerial systems and kiosks. ",Number of hospitals and clinics using RHTP-funded AI technologies and tools;Number of hospitals and clinics with RHTP-funded remote patient monitoring capabilities;Percentage of eligible Medicaid providers delivering telehealth services;Number of hospitals sharing full clinical data with the HIE;Number of entities participating in the HIE,Active;Active;Active;Active;Active
AZ,Rural Health Workforce Development and Training Program,1,In progress,"This initiative responds to the urgent need by deploying a comprehensive, multi-pronged strategy to recruit, train, and retain skilled health professionals in rural areas. The Rural Health Workforce Development and Training Program prioritizes non-physician providers—including allied health professionals, community health workers (CHWs), nurses, and physician assistants (PAs)—followed by targeted investments in the primary and specialty care physician workforce","# of preceptors in rural communities by discipline;# of students receiving subsidy;# of educators supported for nursing and/or allied professions;# of rural high school students learning about health professions, including allied health professions",Active;Active;Active;Active
AZ,Priority Health Initiatives Grants Portfolio,2,In progress,"The Priority Health Initiatives Grants Portfolio advances health outcomes across Arizona by funding high-impact, community-driven programs that address behavioral health, chronic disease prevention and management, and maternal-fetal health disparities.","Behavioral Health & Substance Use Disorder (SUD) Expansion Grant: Increase in crisis services available to rural Arizonans;Behavioral Health & Substance Use Disorder (SUD) Expansion Grant: Number of providers offering patients to access treatment through digital platforms;Chronic Disease Prevention & Management Grant: Colorectal Cancer Screening Rates in Rural Counties;Chronic Disease Prevention & Management Grant: Counties with Operational Public Health Billing Systems;Chronic Disease Prevention & Management Grant: Adults Enrolled in Chronic Disease Prevention Programs (DPP, BP, Healthy Heart);Improving Rural Material-Fetal Health Grant: % of hospitals implementing ≥3 AIM bundles;Improving Rural Maternal-Fetal Health Grant: % providers educated about the maternal mental health help line;Improving Rural Maternal-Fetal Health Grant: # of providers committing to use the perinatal clinical help line;Improving Rural Maternal-Fetal Health Grant: % of hospitals receiving OB simulation training",Active;Active;Active;Active;Active;Active;Active;Active;Active
AZ,Making Rural Healthcare Accessible,3,In progress,The Making Rural Healthcare Accessible initiative aims to expand access to care across rural Arizona.,"Telehealth Digital Transformation, Adoption, and Care Coordination Grant: % increase in # of providers that offer telehealth services in rural Arizona;Telehealth Digital Transformation, Adoption, and Care Coordination Grant: Reduction in average credentialing processing time;Telehealth Digital Transformation, Adoption, and Care Coordination Grant: % of grant-funded equipment maintained and in active use;Rural Health Innovative Care Pilot Program: # of new or expanded rural service access points;Rural Health Innovative Care Pilot Program: # of patients served through funded innovations",Active;Active;Active;Active;Active
AZ,Making Rural Healthcare Resilient,4,In progress,"Arizona’s Making Rural Healthcare Resilient initiative aims to build and strengthen collaboration among rural health facilities and other rural providers to operate more efficiently and promote the adoption of shared service models, co-located community hubs, and integrated rural networks.",Number of co-located care sites / shared-service hubs;Number of rural facilities engaged in shared services agreements,Active;Active
AR,"Healthy Eating, Active Recreation, & Transformation (HEART) ",1,In progress,"The Healthy Eating, Active Recreation, & Transformation (HEART) initiative is designed to improve health outcomes and access to preventative care across Arkansas by creating a coordinated, community-driven approach to nutrition, physical activity, and 
chronic disease management. HEART strengthens rural health systems by integrating school programs, community-based initiatives, faith organizations, and healthcare education. This initiative supports the Arkansas RHT Program’s goals of expanding
access, improving health outcomes, fostering sustainable rural healthcare delivery, and building workforce capacity. ","# of Arkansans reached through HEART-supported health education, screening, or wellness events (GROW, FAITH, MOVE);# of new or expanded community partnerships established to deliver HEART programs (schools, markets, faith organizations, healthcare providers);# of HEART-supported community sites offering nutrition, physical activity, or wellness programming (e.g., school-based centers, farmers markets, trails, fitness events);# of healthcare or community-based providers completing HEART-sponsored training on preventive care, behavioral health, or chronic disease management (HEAL)",Active;Active;Active;Active
AR,"Promoting Access, Coordination, and Transformation (PACT)",2,In progress,"The Promoting Access, Coordination, and Transformation (PACT) initiative is designed to strengthen rural healthcare delivery in Arkansas by expanding access, improving care coordination, and supporting sustainable, high-quality services. PACT integrates primary care, specialty care, preventive screenings, and telehealth services into rural communities while fostering locally driven Clinically Integrated Networks to improve efficiency, data sharing, and regional collaboration. By aligning workforce distribution, enhancing provider scope of practice, and supporting strategic facility investments, PACT ensures that rural residents can access timely, coordinated care close to home. The initiative leverages partnerships across hospitals, community organizations, clinics, pharmacies, EMS providers, and state agencies to create a connected, resilient rural health system capable of meeting both current and future needs.","# of rural residents receiving specialty, preventive, or telehealth services through ACCESS and ROADMAP programs;# of participating hospitals, clinics, and providers engaged in data-sharing or operational collaboration through CINC and SAFE initiatives;Number of rural clinics providing expanded specialty or preventive services (e.g., behavioral health, oral health, maternal care) through PACT-supported initiatives;# of pharmacists, dental hygienists, and other providers completing advanced scope-of-practice training under SCoPE",Active;Active;Active;Active
AR,"Recruitment, Innovation, Skills, and Education for Arkansas (RISE AR)",3,In progress,"The Recruitment, Innovation, Skills, and Education for Arkansas (RISE AR) is Arkansas’s initiative to build a sustainable, high-skilled healthcare workforce capable of meeting the unique needs of rural communities. By strengthening recruitment, training, and retention programs, the initiative ensures that healthcare providers are distributed effectively across the state, can practice at the top of their license, and have opportunities for professional growth. RISE AR supports the RHT Program’s goals of expanding access, improving quality, and fostering long-term provider engagement in rural areas. ","# of rural healthcare leaders completing LEAD academy training, mentorship, and experiential learning programs;# of new or expanded residency, fellowship, and preceptor positions in high-need specialties through PATHWAY;# of clinicians recruited and retained in rural communities through RETAIN incentives and integration programs;# of nurses, PAs, behavioral health counselors, and paraprofessionals completing SKILL UP continuing education and credentialing programs",Active;Active;Active;Active
AR,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",4,In progress,"The Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE) transforms rural healthcare delivery by expanding access to telehealth, remote monitoring, and emergency response innovation. By modernizing EMS, integrating digital care platforms, and piloting remote patient monitoring, THRIVE ensures rural communities can access timely, high-quality care. ",% reduction in EMS response times and improved trauma/ emergency survival rates through LIFELINE;# of patients enrolled in HOME remote monitoring programs for chronic conditions;# of telehealth visits and specialty consults delivered through VIRTUAL program;# of rural facilities with upgraded telehealth and digital health infrastructure via TECH Fund,Active;Active;Active;Active
CA,The Rural Health Transformative Care Model Initiative ,1,In progress,"The Rural Health Transformative Care Model (TCM) Initiative expands access, strengthens the rural workforce, evaluates payment structures, and deploys integrated telehealth solutions to deliver evidence-based care closer to home.","% of persons 18–85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was
adequately controlled (<140/90 mm Hg) during reporting period;% of persons 18–75 years of age with diabetes (type 1 or type
2) whose most recent glycemic status (hemoglobin A1c [HbA1c]
or glucose management indicator [GMI]) was >9.0%;% of persons 45–75 years of age who had appropriate screening for colorectal cancer;% of deliveries that received a prenatal care visit in the first trimester;Vaginal births per 100 women with previous Cesarean deliveries (Vaginal Birth after Cesarean (VBAC) Rate, Uncomplicated)",Active;Active;Active;Active;Active
CA,The Rural Health Workforce Development Initiative ,2,In progress,"The Rural Health Workforce Development Initiative will drive lasting rural transformation by building a sustainable, locally rooted health workforce. The goal is to grow and sustain a capable, community-based health workforce in rural and frontier California, enabling access to high-quality care through coordinated, data-informed planning; community engagement; career pathways; and strategic training, relocation, and retention.","Number of licensed health workers with a primary practice location in rural areas (including but not limited to LVNs, RNs, NPs, PAs, licensed allied professionals and other advanced practitioners);Number of certified health workers in rural areas as determined by list of certified allied health professionals developed in statewide planning tool;Number of individuals who participated in education and training programs supported by RHTP;Time to hire for primary and maternity care providers and allied health professionals",Active;Active;Active;Active
CA,The Rural Health Technology & Tools Initiative ,3,In progress,"The Rural Health Technology & Tools Initiative will equip rural health providers with the technical capacity necessary to strengthen clinical care and improve efficiency. This initiative will advance California’s rural health care providers’ ability to deliver high quality primary, maternity, and specialty care and support the TCM and Workforce Development initiatives by modernizing technology systems and infrastructure. The initiative will address rural disparities in telehealth utilization and access to timely health data enabling communities to benefit from high-quality, affordable, and coordinated care while strengthening clinical integration and financial stability.","Number of rural hospitals reporting a connection to a national network or QHIO;Primary care providers reporting data exchange capabilities, including electronically receiving event notifications;Number of grantees that have completed a standardized security risk assessments in the last 3 years;Number of grantees whose data is managed by a technology with sustained cyber security certification;Number of unique visits of patient portal to access records during reporting period",Active;Active;Active;Active;Active
CO,Transforming Rural Care: Hospitals and Chronic Disease Prevention,1,In progress,"This initiative will focus on providing educational, disease prevention, and care coordination services for cardiovascular disease, hypertension, obesity, and other high priority chronic conditions. Through targeted technical assistance, this initiative will support rural hospitals and will equip rural providers, local public health agencies, and community organizations with the training, tools (e.g., consumer-facing technology solutions), and infrastructure needed to deliver high-quality prevention and chronic disease management services. ","Number of rural/frontier-based chronic disease programs (SMBP, DPP, DSMES, FHW, etc.) seeded or supported.;Number of people served through rural/frontier chronic disease programs.;Number of clinics referring to chronic disease prevention and/or management programs.;Number of programs engaging in COSHIE/HIE data 
sharing.;Number of clinics implementing evidence-based policies for chronic disease management.",Active;Active;Active;Active;Active
CO,Build Data and Evaluation Infrastructure for Chronic Disease Programs,2,In progress,"This initiative will strengthen data systems, performance monitoring, and evaluation to ensure chronic disease prevention and management programs are effective and sustainable. It will create a unified approach for collecting and analyzing data across programs and regions, enabling real-time feedback and continuous improvement.","Number of rural/frontier-based chronic disease programs (SMBP, DPP, DSMES, FHW, etc.) seeded or supported.;Number of people served through rural/frontier chronic disease programs.;Number of clinics referring to chronic disease prevention and/or management programs.;Number of programs engaging in COSHIE/HIE data 
sharing.;Number of clinics implementing evidence-based policies for chronic disease management.",Active;Active;Active;Active;Active
CO,Build and Connect Colorado’s Rural Health Networks ,3,In progress,"This initiative will strengthen coordination, collaboration, and sustainability across Colorado’s rural health system by building regional health networks and developing a centralized data tracking system. Together, these components will connect hospitals, clinics, local public health agencies, and community partners to improve access, quality, and long-term system resilience. ","Number of new hospital collaborative agreements or new service lines.;Number of regional collaborations established for care 
access.;Number of regional partnership agreements executed.;EMS response time improvements or expansion of EMS programs.;Number of service line expansions (OB, BH, post-acute).",Active;Active;Active;Active;Active
CO,Strengthen Rural Care Delivery Systems ,4,In progress,"This initiative will strengthen, modernize, and transform rural-care delivery systems across Colorado by improving EMS coverage, expanding care coordination, and supporting clinical integration among hospitals, clinics, and local health partners. Through targeted efforts and support, HCPF will enhance the capacity of rural providers to deliver timely, coordinated, and sustainable high-quality care in rural communities.","Number of new hospital collaborative agreements or new service lines.;Number of regional collaborations established for care 
access.;Number of regional partnership agreements executed.;EMS response time improvements or expansion of EMS programs.;Number of service line expansions (OB, BH, post-acute).",Active;Active;Active;Active;Active
CO,Sustain Rural Hospital Operations and Regulatory Readiness,5,In progress,"This initiative will ensure the long-term stability, operational capacity, and regulatory readiness of rural hospitals across Colorado through a program that supports expansion or coordination of essential services, modernization of operations, and compliance with emerging regulatory and payment reforms, without duplicating reimbursable services or providing direct funding of clinical services. Colorado will provide direct financial support to rural hospitals facing financial, operational and workforce challenges","Number of new hospital collaborative agreements or new service lines.;Number of regional collaborations established for care 
access.;Number of regional partnership agreements executed.;EMS response time improvements or expansion of EMS programs.;Number of service line expansions (OB, BH, post-acute).",Active;Active;Active;Active;Active
CO,Strengthen and Expand the Rural Health Workforce ,6,In progress,"This initiative will strengthen Colorado’s rural health workforce by expanding access to credentialing and continuing education opportunities for health professionals and other health workers serving in identified Health Professional Shortage Areas (HPSAs). Funding will be used to attract, train (including cross-training), and retain local essential providers (e.g., physicians, nurses, pharmacists, behavioral health clinicians, Health Worker, technicians, and others) who are critical to improving chronic disease prevention and management and sustaining rural care delivery. The focus on a homegrown workforce will support long-term sustainability. ",Number of health workers credentialed and practicing in rural/frontier areas.;Number of pharmacists and health workers trained on chronic disease interventions.;Number of medical providers trained and offering services for chronic disease topics;Number of collaborative workforce initiatives launched.,Active;Active;Active;Active
CO,Expanding Clinical Capacity to Perform Preventive Care,7,In progress,"This initiative will expand clinical workforce capacity to deliver preventive services and procedures in rural and frontier communities. By equipping rural clinicians with advanced procedural skills, Colorado will help local rural providers meet preventive screening needs in their regions.",Number of health workers credentialed and practicing in rural/frontier areas.;Number of pharmacists and health workers trained on chronic disease interventions.;Number of medical providers trained and offering services for chronic disease topics;Number of collaborative workforce initiatives launched.,Active;Active;Active;Active
CO,Strengthening State and Local Health Coordination,8,In progress,"This initiative will enhance coordination, communication, and alignment between state, regional, and local health entities to ensure effective implementation of prevention and workforce programs in rural Colorado. HCPF will invest in leadership staffing, technical assistance, and training to strengthen collaborative governance and ensure sustained rural health infrastructure",Number of health workers credentialed and practicing in rural/frontier areas.;Number of pharmacists and health workers trained on chronic disease interventions.;Number of medical providers trained and offering services for chronic disease topics;Number of collaborative workforce initiatives launched.,Active;Active;Active;Active
CO,Design and Pilot Rural Value-Based Care Model(s) ,9,In progress,"This initiative will research, design, pilot, and ultimately scale value-based care model(s) tailored for rural providers and hospitals. This initiative will assess the feasibility of shared savings, bundled payments, and other approaches that reward prevention, care coordination, and improved health outcomes. HCPF will collaborate with rural health clinics, hospitals, and Regional Accountable Entities (RAEs) to implement scalable, value-based frameworks that are aligned with Colorado’s ACO and Clinically Integrated Networks (CIN). These efforts will support rural population health priorities and community health needs (CHNA) assessment action plans through an ACO-like infrastructure facilitated by HCPF under Phase III of the Accountable Care Collaborative, effective July 1, 2025. ","Number of new APM or value-based models launched.;Number of facilities in ACO-like collaborative networks.;Number of facilities engaged in quality improvement 
under HTP.;Number of new rural payment arrangements or shared savings programs.",Active;Active;Active;Active
CO,Expand Rural Telehealth and Technology Integration,10,In progress,"This initiative will strengthen and expand rural health system participation in the use of technology-enabled prevention, monitoring, and care delivery. Through telehealth (eConsults) and remote-patient monitoring, this initiative will equip rural providers and other agencies with the tools and technical support necessary to engage in data-driven, integrated care (clinically integrated networks)","Percent of rural patients with access to telehealth or 
virtual-enabled services.;Percent of facilities exchanging data via CAP or HIE.;Percent of facilities completing cybersecurity readiness 
training.;Percent of clinics using remote monitoring for chronic 
disease.;Number of technology grants or regional platforms 
launched.",Active;Active;Active;Active;Active
